Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Order,Origin,Destination,Demand,ServedFlow,UnservedFlow,ServiceRate,ModelStatus
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,0,199,404,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,1,332,422,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,2,381,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,3,402,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,4,420,484,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,5,421,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,6,422,347,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,7,422,485,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,8,443,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,9,443,361,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,10,466,264,7,7.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,11,466,629,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,12,467,264,7,7.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,13,467,368,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,14,468,402,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,15,468,464,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,16,483,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,17,485,264,3,3.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,18,486,264,3,3.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T7,19,591,460,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,0,356,299,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,1,361,442,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,2,361,466,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,3,366,420,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,4,421,328,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,5,423,486,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,6,441,362,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,7,443,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,8,460,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,9,461,275,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,10,464,415,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,11,465,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,12,465,303,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,13,465,360,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,14,466,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,15,466,340,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,16,466,400,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,17,466,461,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,18,467,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,19,484,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,20,484,368,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,21,485,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,22,502,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T8,23,543,368,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,0,363,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,1,421,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,2,421,486,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,3,422,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,4,438,487,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,5,440,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,6,441,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,7,464,465,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,8,465,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,9,466,264,5,5.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T9,10,466,437,1,1.0,0.0,1.0,OPTIMAL
